timestamp,user,device,ip_address,alert_type,severity,source,root_cause,incident_id
2026-08-31 06:58:10,carlos.f,SRV-DB-249,10.17.45.9,malware_detected,medium,EDR,benign,BENIGN-00684
2026-08-20 20:38:18,elizabeth.h,SRV-WEB-609,10.27.53.42,privilege_escalation,medium,AD,benign,BENIGN-00561
2026-08-14 05:15:04,james.r,WIN10-454,10.25.19.93,privilege_escalation,high,AD,phishing,INC-S-00168
2026-08-24 04:34:32,james.r,MACOS-686,10.1.61.108,login_anomaly,low,AD,phishing,INC-S-00060
2026-08-09 06:51:39,wei.r,LNX-APP-191,10.15.93.99,login_anomaly,low,AD,benign,BENIGN-00058
2026-08-19 03:53:46,richard.i,LNX-APP-191,10.2.113.242,powershell_exec,high,EDR,phishing,INC-0029
2026-08-28 02:30:33,john.m,LNX-APP-485,10.27.40.71,powershell_exec,low,EDR,benign,BENIGN-00692
2026-08-17 05:08:57,linda.b,LNX-APP-946,10.3.197.207,malware_detected,low,EDR,benign,BENIGN-00527
2026-08-15 23:10:37,carlos.r,LNX-APP-544,10.19.237.38,powershell_exec,low,EDR,benign,BENIGN-00311
2026-08-14 05:11:23,david.d,SRV-DB-272,78.187.60.170,outbound_connection,high,Firewall,benign,BENIGN-00258
2026-08-25 03:16:53,michael.e,SRV-DB-714,10.0.91.21,data_access,low,SIEM,benign,BENIGN-00326
2026-08-31 13:35:40,ahmed.c,WIN10-610,118.144.165.153,powershell_exec,low,EDR,benign,BENIGN-00123
2026-08-27 04:33:34,jennifer.l,SRV-DB-515,10.11.242.241,powershell_exec,high,EDR,malware,INC-S-00084
2026-08-31 22:16:29,yusuf.z,WIN11-286,10.10.41.101,privilege_escalation,critical,AD,malware,INC-S-00099
2026-08-23 19:05:53,priya.x,WIN10-766,10.24.127.161,data_access,medium,SIEM,compromised_account,INC-0024
2026-08-22 13:30:02,linda.e,SRV-FILE-556,10.16.196.107,outbound_connection,medium,Firewall,benign,BENIGN-00050
2026-08-25 08:28:40,carlos.q,LNX-APP-191,10.30.13.65,credential_dump,high,EDR,malware,INC-0019
2026-08-06 18:15:09,elena.m,SRV-FILE-958,10.3.83.59,outbound_connection,low,Proxy,benign,BENIGN-00435
2026-08-23 20:02:21,elena.r,SRV-WEB-083,10.20.20.237,privilege_escalation,critical,EDR,malware,INC-S-00138
2026-08-29 10:50:42,mary.h,SRV-WEB-460,10.5.233.86,outbound_connection,high,Firewall,benign,BENIGN-00337
2026-08-31 15:16:01,carlos.i,WIN10-692,10.30.216.111,login_anomaly,high,SIEM,benign,BENIGN-00401
2026-08-02 20:42:08,wei.r,WIN10-599,10.3.251.128,powershell_exec,low,EDR,benign,BENIGN-00159
2026-08-14 20:02:34,elena.r,WIN11-059,10.11.13.165,privilege_escalation,medium,EDR,benign,BENIGN-00398
2026-08-10 07:02:01,thomas.t,WIN11-195,10.3.6.53,malware_detected,medium,EDR,benign,BENIGN-00100
2026-08-11 09:20:44,karen.c,WIN10-692,10.14.238.83,powershell_exec,high,EDR,phishing,INC-0026
2026-08-05 19:30:43,thomas.p,SRV-DB-363,10.21.207.137,phishing_email,critical,Email Gateway,benign,BENIGN-00368
2026-08-16 08:05:52,sofia.b,MACOS-059,10.10.203.15,privilege_escalation,high,AD,compromised_account,INC-0028
2026-08-04 10:54:19,elena.a,SRV-DB-363,10.7.8.117,privilege_escalation,high,EDR,benign,BENIGN-00116
2026-08-06 00:10:18,joseph.q,SRV-FILE-598,10.4.33.87,data_access,medium,DLP,benign,BENIGN-00305
2026-08-23 16:08:28,elena.r,LNX-APP-804,10.3.152.9,privilege_escalation,high,EDR,compromised_account,INC-S-00131
2026-08-11 17:47:46,fatima.d,SRV-FILE-348,10.2.125.251,login_anomaly,medium,AD,benign,BENIGN-00409
2026-08-14 14:55:49,james.r,WIN10-949,10.25.78.44,credential_dump,low,EDR,benign,BENIGN-00458
2026-08-24 12:13:52,jennifer.r,WIN10-052,10.25.127.96,data_access,medium,DLP,benign,BENIGN-00272
2026-08-14 13:03:13,priya.i,LNX-APP-417,10.8.34.8,outbound_connection,medium,Proxy,benign,BENIGN-00524
2026-08-30 21:25:44,linda.v,SRV-WEB-083,10.3.26.4,credential_dump,medium,EDR,benign,BENIGN-00651
2026-08-16 00:16:57,sarah.d,WIN10-235,10.13.205.114,data_access,low,SIEM,benign,BENIGN-00470
2026-08-02 07:06:48,fatima.h,SRV-FILE-670,10.29.86.90,privilege_escalation,high,EDR,compromised_account,INC-S-00026
2026-08-08 10:56:38,john.c,LNX-APP-883,10.21.223.139,outbound_connection,high,Firewall,insider,INC-S-00128
2026-08-09 05:51:02,karen.k,SRV-DB-421,10.6.28.204,data_access,medium,SIEM,benign,BENIGN-00431
2026-08-19 02:59:57,john.m,SRV-FILE-348,10.12.157.174,login_anomaly,medium,SIEM,benign,BENIGN-00508
2026-08-03 21:28:50,michael.h,MACOS-059,10.28.157.154,privilege_escalation,high,EDR,benign,BENIGN-00219
2026-08-16 19:08:21,jennifer.w,SRV-DB-293,10.19.167.7,phishing_email,low,Email Gateway,benign,BENIGN-00309
2026-08-31 19:24:12,jessica.a,WIN10-603,10.7.217.247,outbound_connection,medium,Firewall,benign,BENIGN-00205
2026-08-16 22:55:05,william.e,SRV-DB-124,10.22.13.108,privilege_escalation,low,AD,benign,BENIGN-00338
2026-08-31 10:42:00,jennifer.z,WIN10-603,10.25.175.78,powershell_exec,low,EDR,benign,BENIGN-00191
2026-08-29 20:25:24,mary.h,SRV-DB-256,10.11.55.229,powershell_exec,low,EDR,benign,BENIGN-00240
2026-08-04 21:02:55,elena.m,MACOS-073,10.21.131.152,login_anomaly,medium,SIEM,benign,BENIGN-00487
2026-08-24 10:19:54,linda.v,SRV-DB-256,10.10.143.110,data_access,low,SIEM,benign,BENIGN-00015
2026-08-12 08:25:58,carlos.u,WIN11-059,10.10.214.247,phishing_email,medium,Email Gateway,benign,BENIGN-00424
2026-08-27 19:42:48,karen.u,WIN10-603,10.3.120.182,credential_dump,medium,EDR,benign,BENIGN-00452
2026-08-05 19:30:54,patricia.v,SRV-FILE-348,10.17.2.29,login_anomaly,low,AD,compromised_account,INC-0003
